term,pleasure,arousal,dominance
scapegoat,3.67,4.53,3.52
scar,3.38,4.79,3.88
scared,2.78,6.82,2.94
scholar,7.26,5.12,6.59
scissors,5.05,4.47,5.16
scorching,3.76,5.0,4.1
scorn,2.84,5.48,3.93
scornful,3.02,5.04,4.59
scorpion,3.69,5.38,3.98
scream,3.88,7.04,4.75
scum,2.43,4.88,4.26
scurvy,3.19,4.71,4.48
seasick,2.05,5.8,3.41
seat,4.95,2.95,4.84
secure,7.57,3.14,5.93
selfish,2.42,5.5,4.64
sentiment,5.98,4.41,5.09
serious,5.08,4.0,5.12
severe,3.2,5.26,3.83
sex,8.05,7.36,5.75
sexy,8.02,7.36,6.82
shadow,4.35,4.3,4.19
shamed,2.5,4.88,2.98
shark,3.65,7.16,2.63
sheltered,5.75,4.28,3.76
ship,5.55,4.38,5.12
shotgun,4.37,6.27,5.29
shriek,3.93,5.36,4.3
shy,4.64,3.77,3.44
sick,1.9,4.29,3.04
sickness,2.25,5.61,3.84
silk,6.9,3.71,4.81
silly,7.41,5.88,6.0
sin,2.8,5.78,3.62
sinful,2.93,6.29,4.24
sissy,3.14,5.17,3.58
skeptical,4.52,4.91,4.5
skijump,7.06,7.06,4.9
skull,4.27,4.75,4.86
sky,7.37,4.27,5.16
skyscraper,5.88,5.71,4.33
slap,2.95,6.46,4.21
slaughter,1.64,6.77,3.82
slave,1.84,6.21,3.29
sleep,7.2,2.8,5.41
slime,2.68,5.36,4.17
slow,3.93,3.39,4.35
slum,2.39,4.78,3.83
slush,4.66,3.73,4.91
smallpox,2.52,5.58,4.29
smooth,6.58,4.91,5.09
snake,3.31,6.82,3.78
snob,3.36,5.65,5.11
snow,7.08,5.75,5.8
snuggle,7.92,4.16,5.66
social,6.88,4.98,5.91
soft,7.12,4.63,6.0
solemn,4.32,3.56,4.61
song,7.1,6.07,5.85
soothe,7.3,4.4,5.36
sour,3.93,5.1,4.64
space,6.78,5.14,5.2
spanking,3.55,5.41,3.91
sphere,5.33,3.88,5.0
spider,3.33,5.71,4.75
spirit,7.0,5.56,5.82
spouse,7.58,5.21,5.53
spray,5.45,4.14,5.12
spring,7.76,5.67,6.26
square,4.74,3.18,4.51
stagnant,4.15,3.93,4.71
star,7.27,5.83,4.68
startled,4.5,6.93,4.48
starving,2.39,5.61,3.63
statue,5.17,3.46,4.95
stench,2.19,4.36,4.29
stiff,4.68,4.02,4.93
stink,3.0,4.26,4.16
stomach,4.82,3.93,4.68
stool,4.56,4.0,4.98
storm,4.95,5.71,4.54
stove,4.98,4.51,5.36
street,5.22,3.39,4.81
stress,2.09,7.45,3.93
strong,7.11,5.92,6.92
stupid,2.31,4.72,2.98
subdued,4.67,2.9,4.08
